,response,context,context/0,context/1,context/2,context/3,context/4,context/5
16,1 Hun gir oss alltid fem dollar!,2 -Hun henter tante Liddy.,1 -Hvor er mamma?,2 Hvor er vesla?,Se hvem som er her.,1 Hei.,2 -Beklager. Jeg mente ''nei'' .,1 -Hva?
17,2 Når får jeg treffe Emma,1 Hun gir oss alltid fem dollar!,2 -Hun henter tante Liddy.,1 -Hvor er mamma?,2 Hvor er vesla?,Se hvem som er her.,1 Hei.,2 -Beklager. Jeg mente ''nei'' .
18,og vise henne dette?,2 Når får jeg treffe Emma,1 Hun gir oss alltid fem dollar!,2 -Hun henter tante Liddy.,1 -Hvor er mamma?,2 Hvor er vesla?,Se hvem som er her.,1 Hei.
19,1 Jøss!,og vise henne dette?,2 Når får jeg treffe Emma,1 Hun gir oss alltid fem dollar!,2 -Hun henter tante Liddy.,1 -Hvor er mamma?,2 Hvor er vesla?,Se hvem som er her.
20,2 Jeg skal følge deg til henne.,1 Jøss!,og vise henne dette?,2 Når får jeg treffe Emma,1 Hun gir oss alltid fem dollar!,2 -Hun henter tante Liddy.,1 -Hvor er mamma?,2 Hvor er vesla?
21,1 -Men jeg vil prate med deg.,2 Jeg skal følge deg til henne.,1 Jøss!,og vise henne dette?,2 Når får jeg treffe Emma,1 Hun gir oss alltid fem dollar!,2 -Hun henter tante Liddy.,1 -Hvor er mamma?
22,2 -Samme her.,1 -Men jeg vil prate med deg.,2 Jeg skal følge deg til henne.,1 Jøss!,og vise henne dette?,2 Når får jeg treffe Emma,1 Hun gir oss alltid fem dollar!,2 -Hun henter tante Liddy.
23,"1 Først av alt må jeg prate med deg,",2 -Samme her.,1 -Men jeg vil prate med deg.,2 Jeg skal følge deg til henne.,1 Jøss!,og vise henne dette?,2 Når får jeg treffe Emma,1 Hun gir oss alltid fem dollar!
24,"og med deg, Ross.","1 Først av alt må jeg prate med deg,",2 -Samme her.,1 -Men jeg vil prate med deg.,2 Jeg skal følge deg til henne.,1 Jøss!,og vise henne dette?,2 Når får jeg treffe Emma
25,2 Og jeg må prate med dere.,"og med deg, Ross.","1 Først av alt må jeg prate med deg,",2 -Samme her.,1 -Men jeg vil prate med deg.,2 Jeg skal følge deg til henne.,1 Jøss!,og vise henne dette?
26,For å høre om dere vet,2 Og jeg må prate med dere.,"og med deg, Ross.","1 Først av alt må jeg prate med deg,",2 -Samme her.,1 -Men jeg vil prate med deg.,2 Jeg skal følge deg til henne.,1 Jøss!
27,hva de prater om.,For å høre om dere vet,2 Og jeg må prate med dere.,"og med deg, Ross.","1 Først av alt må jeg prate med deg,",2 -Samme her.,1 -Men jeg vil prate med deg.,2 Jeg skal følge deg til henne.
28,1 Er hun ikke nydelig?,hva de prater om.,For å høre om dere vet,2 Og jeg må prate med dere.,"og med deg, Ross.","1 Først av alt må jeg prate med deg,",2 -Samme her.,1 -Men jeg vil prate med deg.
29,Se på henne.,1 Er hun ikke nydelig?,hva de prater om.,For å høre om dere vet,2 Og jeg må prate med dere.,"og med deg, Ross.","1 Først av alt må jeg prate med deg,",2 -Samme her.
30,Mitt første barnebarn.,Se på henne.,1 Er hun ikke nydelig?,hva de prater om.,For å høre om dere vet,2 Og jeg må prate med dere.,"og med deg, Ross.","1 Først av alt må jeg prate med deg,"
31,2 Hva med Ben?,Mitt første barnebarn.,Se på henne.,1 Er hun ikke nydelig?,hva de prater om.,For å høre om dere vet,2 Og jeg må prate med dere.,"og med deg, Ross."
32,Jeg mente,2 Hva med Ben?,Mitt første barnebarn.,Se på henne.,1 Er hun ikke nydelig?,hva de prater om.,For å høre om dere vet,2 Og jeg må prate med dere.
33,mitt første jentebarnebarn.,Jeg mente,2 Hva med Ben?,Mitt første barnebarn.,Se på henne.,1 Er hun ikke nydelig?,hva de prater om.,For å høre om dere vet
34,1 -Har du tenkt mer på Rachel og deg?,mitt første jentebarnebarn.,Jeg mente,2 Hva med Ben?,Mitt første barnebarn.,Se på henne.,1 Er hun ikke nydelig?,hva de prater om.
35,2 -Jeg skulle til å prate med henne.,1 -Har du tenkt mer på Rachel og deg?,mitt første jentebarnebarn.,Jeg mente,2 Hva med Ben?,Mitt første barnebarn.,Se på henne.,1 Er hun ikke nydelig?
36,1 Så spennende!,2 -Jeg skulle til å prate med henne.,1 -Har du tenkt mer på Rachel og deg?,mitt første jentebarnebarn.,Jeg mente,2 Hva med Ben?,Mitt første barnebarn.,Se på henne.
37,2 Du kunne gjort det mens vi var der.,1 Så spennende!,2 -Jeg skulle til å prate med henne.,1 -Har du tenkt mer på Rachel og deg?,mitt første jentebarnebarn.,Jeg mente,2 Hva med Ben?,Mitt første barnebarn.
38,1 Du kan altså ta på deg selv,2 Du kunne gjort det mens vi var der.,1 Så spennende!,2 -Jeg skulle til å prate med henne.,1 -Har du tenkt mer på Rachel og deg?,mitt første jentebarnebarn.,Jeg mente,2 Hva med Ben?
39,"mens vi ser på, men ikke prate?",1 Du kan altså ta på deg selv,2 Du kunne gjort det mens vi var der.,1 Så spennende!,2 -Jeg skulle til å prate med henne.,1 -Har du tenkt mer på Rachel og deg?,mitt første jentebarnebarn.,Jeg mente
40,2 Når tok jeg på meg selv,"mens vi ser på, men ikke prate?",1 Du kan altså ta på deg selv,2 Du kunne gjort det mens vi var der.,1 Så spennende!,2 -Jeg skulle til å prate med henne.,1 -Har du tenkt mer på Rachel og deg?,mitt første jentebarnebarn.
41,mens dere så på?,2 Når tok jeg på meg selv,"mens vi ser på, men ikke prate?",1 Du kan altså ta på deg selv,2 Du kunne gjort det mens vi var der.,1 Så spennende!,2 -Jeg skulle til å prate med henne.,1 -Har du tenkt mer på Rachel og deg?
42,"1 l sted, da du sov i vestibylen.",mens dere så på?,2 Når tok jeg på meg selv,"mens vi ser på, men ikke prate?",1 Du kan altså ta på deg selv,2 Du kunne gjort det mens vi var der.,1 Så spennende!,2 -Jeg skulle til å prate med henne.
43,Den armenske familien så på deg,"1 l sted, da du sov i vestibylen.",mens dere så på?,2 Når tok jeg på meg selv,"mens vi ser på, men ikke prate?",1 Du kan altså ta på deg selv,2 Du kunne gjort det mens vi var der.,1 Så spennende!
44,i stedet for på tv.,Den armenske familien så på deg,"1 l sted, da du sov i vestibylen.",mens dere så på?,2 Når tok jeg på meg selv,"mens vi ser på, men ikke prate?",1 Du kan altså ta på deg selv,2 Du kunne gjort det mens vi var der.
45,2 Det minner meg på,i stedet for på tv.,Den armenske familien så på deg,"1 l sted, da du sov i vestibylen.",mens dere så på?,2 Når tok jeg på meg selv,"mens vi ser på, men ikke prate?",1 Du kan altså ta på deg selv
46,at Mr. Hazmegian har min Gameboy.,2 Det minner meg på,i stedet for på tv.,Den armenske familien så på deg,"1 l sted, da du sov i vestibylen.",mens dere så på?,2 Når tok jeg på meg selv,"mens vi ser på, men ikke prate?"
47,1 -Får jeg prate med deg?,at Mr. Hazmegian har min Gameboy.,2 Det minner meg på,i stedet for på tv.,Den armenske familien så på deg,"1 l sted, da du sov i vestibylen.",mens dere så på?,2 Når tok jeg på meg selv
48,2 -Ja visst.,1 -Får jeg prate med deg?,at Mr. Hazmegian har min Gameboy.,2 Det minner meg på,i stedet for på tv.,Den armenske familien så på deg,"1 l sted, da du sov i vestibylen.",mens dere så på?
49,1 -Jeg gjorde nettopp noe forferdelig!,2 -Ja visst.,1 -Får jeg prate med deg?,at Mr. Hazmegian har min Gameboy.,2 Det minner meg på,i stedet for på tv.,Den armenske familien så på deg,"1 l sted, da du sov i vestibylen."
50,2 -Jeg trodde det var Jack.,1 -Jeg gjorde nettopp noe forferdelig!,2 -Ja visst.,1 -Får jeg prate med deg?,at Mr. Hazmegian har min Gameboy.,2 Det minner meg på,i stedet for på tv.,Den armenske familien så på deg
51,1 Det var Jack!,2 -Jeg trodde det var Jack.,1 -Jeg gjorde nettopp noe forferdelig!,2 -Ja visst.,1 -Får jeg prate med deg?,at Mr. Hazmegian har min Gameboy.,2 Det minner meg på,i stedet for på tv.
52,2 Rachel tror jeg fridde til henne.,1 Det var Jack!,2 -Jeg trodde det var Jack.,1 -Jeg gjorde nettopp noe forferdelig!,2 -Ja visst.,1 -Får jeg prate med deg?,at Mr. Hazmegian har min Gameboy.,2 Det minner meg på
53,1 -Hva? Hvorfor det?,2 Rachel tror jeg fridde til henne.,1 Det var Jack!,2 -Jeg trodde det var Jack.,1 -Jeg gjorde nettopp noe forferdelig!,2 -Ja visst.,1 -Får jeg prate med deg?,at Mr. Hazmegian har min Gameboy.
54,2 -Fordi det virket slik.,1 -Hva? Hvorfor det?,2 Rachel tror jeg fridde til henne.,1 Det var Jack!,2 -Jeg trodde det var Jack.,1 -Jeg gjorde nettopp noe forferdelig!,2 -Ja visst.,1 -Får jeg prate med deg?
55,1 Jeg gjentar: Hva?,2 -Fordi det virket slik.,1 -Hva? Hvorfor det?,2 Rachel tror jeg fridde til henne.,1 Det var Jack!,2 -Jeg trodde det var Jack.,1 -Jeg gjorde nettopp noe forferdelig!,2 -Ja visst.
56,2 -Jeg lå på kne med ringen i hånda.,1 Jeg gjentar: Hva?,2 -Fordi det virket slik.,1 -Hva? Hvorfor det?,2 Rachel tror jeg fridde til henne.,1 Det var Jack!,2 -Jeg trodde det var Jack.,1 -Jeg gjorde nettopp noe forferdelig!
57,-Slik vi alle gjør i løpet av en dag.,2 -Jeg lå på kne med ringen i hånda.,1 Jeg gjentar: Hva?,2 -Fordi det virket slik.,1 -Hva? Hvorfor det?,2 Rachel tror jeg fridde til henne.,1 Det var Jack!,2 -Jeg trodde det var Jack.
58,"Ringen falt ut av Ross' jakke,",-Slik vi alle gjør i løpet av en dag.,2 -Jeg lå på kne med ringen i hånda.,1 Jeg gjentar: Hva?,2 -Fordi det virket slik.,1 -Hva? Hvorfor det?,2 Rachel tror jeg fridde til henne.,1 Det var Jack!
59,og jeg knelte for å ta den opp.,"Ringen falt ut av Ross' jakke,",-Slik vi alle gjør i løpet av en dag.,2 -Jeg lå på kne med ringen i hånda.,1 Jeg gjentar: Hva?,2 -Fordi det virket slik.,1 -Hva? Hvorfor det?,2 Rachel tror jeg fridde til henne.
60,1 Ross hadde en ring og skulle fri?,og jeg knelte for å ta den opp.,"Ringen falt ut av Ross' jakke,",-Slik vi alle gjør i løpet av en dag.,2 -Jeg lå på kne med ringen i hånda.,1 Jeg gjentar: Hva?,2 -Fordi det virket slik.,1 -Hva? Hvorfor det?
61,2 Og du gjorde det først?,1 Ross hadde en ring og skulle fri?,og jeg knelte for å ta den opp.,"Ringen falt ut av Ross' jakke,",-Slik vi alle gjør i løpet av en dag.,2 -Jeg lå på kne med ringen i hånda.,1 Jeg gjentar: Hva?,2 -Fordi det virket slik.
62,1 Det vil ta livet av ham!,2 Og du gjorde det først?,1 Ross hadde en ring og skulle fri?,og jeg knelte for å ta den opp.,"Ringen falt ut av Ross' jakke,",-Slik vi alle gjør i løpet av en dag.,2 -Jeg lå på kne med ringen i hånda.,1 Jeg gjentar: Hva?
63,Du vet at han elsker å fri.,1 Det vil ta livet av ham!,2 Og du gjorde det først?,1 Ross hadde en ring og skulle fri?,og jeg knelte for å ta den opp.,"Ringen falt ut av Ross' jakke,",-Slik vi alle gjør i løpet av en dag.,2 -Jeg lå på kne med ringen i hånda.
64,"2 Det er ille, ja.",Du vet at han elsker å fri.,1 Det vil ta livet av ham!,2 Og du gjorde det først?,1 Ross hadde en ring og skulle fri?,og jeg knelte for å ta den opp.,"Ringen falt ut av Ross' jakke,",-Slik vi alle gjør i løpet av en dag.
65,1 -Hva sa hun?,"2 Det er ille, ja.",Du vet at han elsker å fri.,1 Det vil ta livet av ham!,2 Og du gjorde det først?,1 Ross hadde en ring og skulle fri?,og jeg knelte for å ta den opp.,"Ringen falt ut av Ross' jakke,"
66,2 -Hun sa ja.,1 -Hva sa hun?,"2 Det er ille, ja.",Du vet at han elsker å fri.,1 Det vil ta livet av ham!,2 Og du gjorde det først?,1 Ross hadde en ring og skulle fri?,og jeg knelte for å ta den opp.
67,1 Vet Ross det?,2 -Hun sa ja.,1 -Hva sa hun?,"2 Det er ille, ja.",Du vet at han elsker å fri.,1 Det vil ta livet av ham!,2 Og du gjorde det først?,1 Ross hadde en ring og skulle fri?
68,2 Nei.,1 Vet Ross det?,2 -Hun sa ja.,1 -Hva sa hun?,"2 Det er ille, ja.",Du vet at han elsker å fri.,1 Det vil ta livet av ham!,2 Og du gjorde det først?
69,1 Herregud!,2 Nei.,1 Vet Ross det?,2 -Hun sa ja.,1 -Hva sa hun?,"2 Det er ille, ja.",Du vet at han elsker å fri.,1 Det vil ta livet av ham!
70,Hva skal jeg si til ham?,1 Herregud!,2 Nei.,1 Vet Ross det?,2 -Hun sa ja.,1 -Hva sa hun?,"2 Det er ille, ja.",Du vet at han elsker å fri.
71,2 -Du trenger kanskje ikke å si noe.,Hva skal jeg si til ham?,1 Herregud!,2 Nei.,1 Vet Ross det?,2 -Hun sa ja.,1 -Hva sa hun?,"2 Det er ille, ja."
72,1 Men da må du ordne opp med Rachel,2 -Du trenger kanskje ikke å si noe.,Hva skal jeg si til ham?,1 Herregud!,2 Nei.,1 Vet Ross det?,2 -Hun sa ja.,1 -Hva sa hun?
73,før han får vite det og banker deg.,1 Men da må du ordne opp med Rachel,2 -Du trenger kanskje ikke å si noe.,Hva skal jeg si til ham?,1 Herregud!,2 Nei.,1 Vet Ross det?,2 -Hun sa ja.
74,2 La oss ikke overdrive.,før han får vite det og banker deg.,1 Men da må du ordne opp med Rachel,2 -Du trenger kanskje ikke å si noe.,Hva skal jeg si til ham?,1 Herregud!,2 Nei.,1 Vet Ross det?
75,1 -Jeg vil ha en baby.,2 La oss ikke overdrive.,før han får vite det og banker deg.,1 Men da må du ordne opp med Rachel,2 -Du trenger kanskje ikke å si noe.,Hva skal jeg si til ham?,1 Herregud!,2 Nei.
76,2 -l så fall må jeg snu meg.,1 -Jeg vil ha en baby.,2 La oss ikke overdrive.,før han får vite det og banker deg.,1 Men da må du ordne opp med Rachel,2 -Du trenger kanskje ikke å si noe.,Hva skal jeg si til ham?,1 Herregud!
77,"1 Hvis vi har sex igjen, er sjansen",2 -l så fall må jeg snu meg.,1 -Jeg vil ha en baby.,2 La oss ikke overdrive.,før han får vite det og banker deg.,1 Men da må du ordne opp med Rachel,2 -Du trenger kanskje ikke å si noe.,Hva skal jeg si til ham?
78,større for at vi blir gravide.,"1 Hvis vi har sex igjen, er sjansen",2 -l så fall må jeg snu meg.,1 -Jeg vil ha en baby.,2 La oss ikke overdrive.,før han får vite det og banker deg.,1 Men da må du ordne opp med Rachel,2 -Du trenger kanskje ikke å si noe.
79,2 Jeg er så trøtt.,større for at vi blir gravide.,"1 Hvis vi har sex igjen, er sjansen",2 -l så fall må jeg snu meg.,1 -Jeg vil ha en baby.,2 La oss ikke overdrive.,før han får vite det og banker deg.,1 Men da må du ordne opp med Rachel
80,"2 -Ok, men ikke noe forspill.",2 Jeg er så trøtt.,større for at vi blir gravide.,"1 Hvis vi har sex igjen, er sjansen",2 -l så fall må jeg snu meg.,1 -Jeg vil ha en baby.,2 La oss ikke overdrive.,før han får vite det og banker deg.
81,2 -Avtale!,"2 -Ok, men ikke noe forspill.",2 Jeg er så trøtt.,større for at vi blir gravide.,"1 Hvis vi har sex igjen, er sjansen",2 -l så fall må jeg snu meg.,1 -Jeg vil ha en baby.,2 La oss ikke overdrive.
82,"1 Alvorlig talt, pappa!",2 -Avtale!,"2 -Ok, men ikke noe forspill.",2 Jeg er så trøtt.,større for at vi blir gravide.,"1 Hvis vi har sex igjen, er sjansen",2 -l så fall må jeg snu meg.,1 -Jeg vil ha en baby.
83,2 Du bør gå til en lege.,"1 Alvorlig talt, pappa!",2 -Avtale!,"2 -Ok, men ikke noe forspill.",2 Jeg er så trøtt.,større for at vi blir gravide.,"1 Hvis vi har sex igjen, er sjansen",2 -l så fall må jeg snu meg.
84,1 Det er notert.,2 Du bør gå til en lege.,"1 Alvorlig talt, pappa!",2 -Avtale!,"2 -Ok, men ikke noe forspill.",2 Jeg er så trøtt.,større for at vi blir gravide.,"1 Hvis vi har sex igjen, er sjansen"
85,2 Jeg vil prate med Rachel.,1 Det er notert.,2 Du bør gå til en lege.,"1 Alvorlig talt, pappa!",2 -Avtale!,"2 -Ok, men ikke noe forspill.",2 Jeg er så trøtt.,større for at vi blir gravide.
86,Klarer du deg alene?,2 Jeg vil prate med Rachel.,1 Det er notert.,2 Du bør gå til en lege.,"1 Alvorlig talt, pappa!",2 -Avtale!,"2 -Ok, men ikke noe forspill.",2 Jeg er så trøtt.
87,"1 Jada, det går bra. ",Klarer du deg alene?,2 Jeg vil prate med Rachel.,1 Det er notert.,2 Du bør gå til en lege.,"1 Alvorlig talt, pappa!",2 -Avtale!,"2 -Ok, men ikke noe forspill."
88,2 Hei.,"1 Jada, det går bra. ",Klarer du deg alene?,2 Jeg vil prate med Rachel.,1 Det er notert.,2 Du bør gå til en lege.,"1 Alvorlig talt, pappa!",2 -Avtale!
89,1 Er alt i orden?,2 Hei.,"1 Jada, det går bra. ",Klarer du deg alene?,2 Jeg vil prate med Rachel.,1 Det er notert.,2 Du bør gå til en lege.,"1 Alvorlig talt, pappa!"
90,2 Jeg tror jeg er forlovet.,1 Er alt i orden?,2 Hei.,"1 Jada, det går bra. ",Klarer du deg alene?,2 Jeg vil prate med Rachel.,1 Det er notert.,2 Du bør gå til en lege.
91,1 Herregud!,2 Jeg tror jeg er forlovet.,1 Er alt i orden?,2 Hei.,"1 Jada, det går bra. ",Klarer du deg alene?,2 Jeg vil prate med Rachel.,1 Det er notert.
92,2 Gjorde han det?,1 Herregud!,2 Jeg tror jeg er forlovet.,1 Er alt i orden?,2 Hei.,"1 Jada, det går bra. ",Klarer du deg alene?,2 Jeg vil prate med Rachel.
93,1 -Visste du at han ville fri?,2 Gjorde han det?,1 Herregud!,2 Jeg tror jeg er forlovet.,1 Er alt i orden?,2 Hei.,"1 Jada, det går bra. ",Klarer du deg alene?
94,2 -Det var jeg som overtalte ham.,1 -Visste du at han ville fri?,2 Gjorde han det?,1 Herregud!,2 Jeg tror jeg er forlovet.,1 Er alt i orden?,2 Hei.,"1 Jada, det går bra. "
95,1 -Tror du virkelig det er lurt?,2 -Det var jeg som overtalte ham.,1 -Visste du at han ville fri?,2 Gjorde han det?,1 Herregud!,2 Jeg tror jeg er forlovet.,1 Er alt i orden?,2 Hei.
96,2 -Må jeg overtale deg også?,1 -Tror du virkelig det er lurt?,2 -Det var jeg som overtalte ham.,1 -Visste du at han ville fri?,2 Gjorde han det?,1 Herregud!,2 Jeg tror jeg er forlovet.,1 Er alt i orden?
97,"1 Jeg kan også bli sliten, folkens!",2 -Må jeg overtale deg også?,1 -Tror du virkelig det er lurt?,2 -Det var jeg som overtalte ham.,1 -Visste du at han ville fri?,2 Gjorde han det?,1 Herregud!,2 Jeg tror jeg er forlovet.
98,2 Det føles ikke rett.,"1 Jeg kan også bli sliten, folkens!",2 -Må jeg overtale deg også?,1 -Tror du virkelig det er lurt?,2 -Det var jeg som overtalte ham.,1 -Visste du at han ville fri?,2 Gjorde han det?,1 Herregud!
99,1 Alle mener,2 Det føles ikke rett.,"1 Jeg kan også bli sliten, folkens!",2 -Må jeg overtale deg også?,1 -Tror du virkelig det er lurt?,2 -Det var jeg som overtalte ham.,1 -Visste du at han ville fri?,2 Gjorde han det?
100,at dere er som skapt for hverandre.,1 Alle mener,2 Det føles ikke rett.,"1 Jeg kan også bli sliten, folkens!",2 -Må jeg overtale deg også?,1 -Tror du virkelig det er lurt?,2 -Det var jeg som overtalte ham.,1 -Visste du at han ville fri?
101,2 Til og med Ross?,at dere er som skapt for hverandre.,1 Alle mener,2 Det føles ikke rett.,"1 Jeg kan også bli sliten, folkens!",2 -Må jeg overtale deg også?,1 -Tror du virkelig det er lurt?,2 -Det var jeg som overtalte ham.
102,1 Særlig Ross.,2 Til og med Ross?,at dere er som skapt for hverandre.,1 Alle mener,2 Det føles ikke rett.,"1 Jeg kan også bli sliten, folkens!",2 -Må jeg overtale deg også?,1 -Tror du virkelig det er lurt?
103,"2 Hei, Pheebs.",1 Særlig Ross.,2 Til og med Ross?,at dere er som skapt for hverandre.,1 Alle mener,2 Det føles ikke rett.,"1 Jeg kan også bli sliten, folkens!",2 -Må jeg overtale deg også?
104,Jeg kommer tilbake senere.,"2 Hei, Pheebs.",1 Særlig Ross.,2 Til og med Ross?,at dere er som skapt for hverandre.,1 Alle mener,2 Det føles ikke rett.,"1 Jeg kan også bli sliten, folkens!"
105,1 Her er det visst fullt hus.,Jeg kommer tilbake senere.,"2 Hei, Pheebs.",1 Særlig Ross.,2 Til og med Ross?,at dere er som skapt for hverandre.,1 Alle mener,2 Det føles ikke rett.
106,2 Jeg kommer tilbake.,1 Her er det visst fullt hus.,Jeg kommer tilbake senere.,"2 Hei, Pheebs.",1 Særlig Ross.,2 Til og med Ross?,at dere er som skapt for hverandre.,1 Alle mener
107,1 Der gikk din forlovede.,2 Jeg kommer tilbake.,1 Her er det visst fullt hus.,Jeg kommer tilbake senere.,"2 Hei, Pheebs.",1 Særlig Ross.,2 Til og med Ross?,at dere er som skapt for hverandre.
108,2 Jeg antar det.,1 Der gikk din forlovede.,2 Jeg kommer tilbake.,1 Her er det visst fullt hus.,Jeg kommer tilbake senere.,"2 Hei, Pheebs.",1 Særlig Ross.,2 Til og med Ross?
109,1 -Han tukler med seg selv i søvne.,2 Jeg antar det.,1 Der gikk din forlovede.,2 Jeg kommer tilbake.,1 Her er det visst fullt hus.,Jeg kommer tilbake senere.,"2 Hei, Pheebs.",1 Særlig Ross.
110,2 -Det forbauser meg ikke.,1 -Han tukler med seg selv i søvne.,2 Jeg antar det.,1 Der gikk din forlovede.,2 Jeg kommer tilbake.,1 Her er det visst fullt hus.,Jeg kommer tilbake senere.,"2 Hei, Pheebs."
111,"1 -Hva gjør du, pappa?",2 -Det forbauser meg ikke.,1 -Han tukler med seg selv i søvne.,2 Jeg antar det.,1 Der gikk din forlovede.,2 Jeg kommer tilbake.,1 Her er det visst fullt hus.,Jeg kommer tilbake senere.
112,2 -Jeg tror noen har sex der inne.,"1 -Hva gjør du, pappa?",2 -Det forbauser meg ikke.,1 -Han tukler med seg selv i søvne.,2 Jeg antar det.,1 Der gikk din forlovede.,2 Jeg kommer tilbake.,1 Her er det visst fullt hus.
113,1 Det er ikke meg.,2 -Jeg tror noen har sex der inne.,"1 -Hva gjør du, pappa?",2 -Det forbauser meg ikke.,1 -Han tukler med seg selv i søvne.,2 Jeg antar det.,1 Der gikk din forlovede.,2 Jeg kommer tilbake.
114,2 Jeg står jo her.,1 Det er ikke meg.,2 -Jeg tror noen har sex der inne.,"1 -Hva gjør du, pappa?",2 -Det forbauser meg ikke.,1 -Han tukler med seg selv i søvne.,2 Jeg antar det.,1 Der gikk din forlovede.
115,1 -Vil dere titte?,2 Jeg står jo her.,1 Det er ikke meg.,2 -Jeg tror noen har sex der inne.,"1 -Hva gjør du, pappa?",2 -Det forbauser meg ikke.,1 -Han tukler med seg selv i søvne.,2 Jeg antar det.
116,2 -Nei!,1 -Vil dere titte?,2 Jeg står jo her.,1 Det er ikke meg.,2 -Jeg tror noen har sex der inne.,"1 -Hva gjør du, pappa?",2 -Det forbauser meg ikke.,1 -Han tukler med seg selv i søvne.
117,1 Kom igjen.,2 -Nei!,1 -Vil dere titte?,2 Jeg står jo her.,1 Det er ikke meg.,2 -Jeg tror noen har sex der inne.,"1 -Hva gjør du, pappa?",2 -Det forbauser meg ikke.
118,2 Kom.,1 Kom igjen.,2 -Nei!,1 -Vil dere titte?,2 Jeg står jo her.,1 Det er ikke meg.,2 -Jeg tror noen har sex der inne.,"1 -Hva gjør du, pappa?"
119,1 Skal vi ikke titte?,2 Kom.,1 Kom igjen.,2 -Nei!,1 -Vil dere titte?,2 Jeg står jo her.,1 Det er ikke meg.,2 -Jeg tror noen har sex der inne.
120,2 Jeg skal iallfall titte.,1 Skal vi ikke titte?,2 Kom.,1 Kom igjen.,2 -Nei!,1 -Vil dere titte?,2 Jeg står jo her.,1 Det er ikke meg.
121,"1 Hallo, sir.",2 Jeg skal iallfall titte.,1 Skal vi ikke titte?,2 Kom.,1 Kom igjen.,2 -Nei!,1 -Vil dere titte?,2 Jeg står jo her.
122,2 Du kjenner Monica.,"1 Hallo, sir.",2 Jeg skal iallfall titte.,1 Skal vi ikke titte?,2 Kom.,1 Kom igjen.,2 -Nei!,1 -Vil dere titte?
